symbol,session_date,side,play,entry,sl,tp,or_high,or_low,volume,signal_open_ms,entry_bar_open_ms,outcome,exit_price,exit_bar_open_ms,pnl_r,pnl_usdt,notional_usdt,resolve_note,bars_seen
QQQUSDT,2026-04-20,SHORT,ORB_BREAKOUT_SHORT,646.57,646.96558183,,648.54,646.59,320.02,1776695100000,1776695100000,loss,646.96558183,1776711000000,-1.0,-212.5,347326.6833,resolved:auto,261
QQQUSDT,2026-04-21,SHORT,ORB_BREAKOUT_SHORT,646.8,647.19618313,,648.8,646.82,86.49,1776788400000,1776788400000,loss,647.19618313,1776789300000,-1.0,-212.5,346922.899,resolved:auto,11
QQQUSDT,2026-04-22,LONG,ORB_BREAKOUT_LONG,650.65,650.25029424,,650.63,648.95,109.38,1776866700000,1776866700000,session_close,655.26,1776887940000,11.533484,2450.8654,345912.2656,resolved:session_close,350
QQQUSDT,2026-04-23,LONG,ORB_BREAKOUT_LONG,654.81,654.39891608,,654.79,652.48,142.42,1776951900000,1776951900000,loss,654.39891608,1776952200000,-1.0,-212.5,338488.3675,resolved:auto,1
QQQUSDT,2026-04-28,SHORT,ORB_BREAKOUT_SHORT,656.07,656.46489326,,660.08,656.09,212.32,1777386900000,1777386900000,loss,656.46489326,1777387320000,-1.0,-212.5,353044.4531,resolved:auto,3
QQQUSDT,2026-05-04,LONG,ORB_BREAKOUT_LONG,675.52,675.13027685,,675.5,674.18,156.39,1777903800000,1777903800000,loss,675.13027685,1777906800000,-1.0,-212.5,368333.2643,resolved:auto,46
QQQUSDT,2026-05-08,LONG,ORB_BREAKOUT_LONG,702.54,702.06233615,,702.52,699.85,862.55,1778247900000,1778247900000,session_close,711.08,1778270340000,17.878682,3799.2199,312541.4452,resolved:session_close,370
QQQUSDT,2026-05-11,SHORT,ORB_BREAKOUT_SHORT,710.35,710.77484602,,714.0,710.37,345.7,1778509500000,1778509500000,loss,710.77484602,1778509800000,-1.0,-212.5,355303.7286,resolved:auto,1
QQQUSDT,2026-05-14,LONG,ORB_BREAKOUT_LONG,718.46,717.99284741,,718.44,714.57,608.82,1778766300000,1778766300000,loss,717.99284741,1778766840000,-1.0,-212.5,326815.5915,resolved:auto,5
QQQUSDT,2026-05-19,SHORT,ORB_BREAKOUT_SHORT,700.44,700.92273293,,705.72,700.46,1061.3,1779199500000,1779199500000,loss,700.92273293,1779203760000,-1.0,-212.5,308335.0871,resolved:auto,67
QQQUSDT,2026-05-20,LONG,ORB_BREAKOUT_LONG,707.65,707.14949799,,707.63,704.54,655.72,1779286500000,1779286500000,session_close,713.43,1779307140000,11.548405,2454.0361,300449.5926,resolved:session_close,340
QQQUSDT,2026-05-21,SHORT,ORB_BREAKOUT_SHORT,708.43,708.93250186,,710.47,708.45,612.47,1779373200000,1779373200000,loss,708.93250186,1779373800000,-1.0,-212.5,299583.717,resolved:auto,6
QQQUSDT,2026-05-22,LONG,ORB_BREAKOUT_LONG,721.03,720.53921255,,721.01,717.43,638.54,1779470700000,1779470700000,loss,720.53921255,1779471120000,-1.0,-212.5,312189.8798,resolved:auto,3
QQQUSDT,2026-05-26,LONG,ORB_BREAKOUT_LONG,727.2,726.71085865,,727.18,724.65,1034.18,1779803100000,1779803100000,loss,726.71085865,1779803580000,-1.0,-212.5,315920.95,resolved:auto,4
QQQUSDT,2026-05-27,SHORT,ORB_BREAKOUT_SHORT,728.33,728.82627411,,733.67,728.35,1996.13,1779891900000,1779891900000,loss,728.82627411,1779892680000,-1.0,-212.5,311864.1934,resolved:auto,9
QQQUSDT,2026-05-28,LONG,ORB_BREAKOUT_LONG,731.15,730.64253118,,731.13,727.24,2197.97,1779977400000,1779977400000,loss,730.64253118,1779978180000,-1.0,-212.5,306165.362,resolved:auto,9
QQQUSDT,2026-05-29,SHORT,ORB_BREAKOUT_SHORT,737.1,737.6006139,,739.66,737.12,1642.69,1780065600000,1780065600000,loss,737.6006139,1780066260000,-1.0,-212.5,312883.3418,resolved:auto,7
QQQUSDT,2026-06-03,SHORT,ORB_BREAKOUT_SHORT,744.61,745.09027649,,749.18,744.63,2729.32,1780494300000,1780494300000,loss,745.09027649,1780495560000,-1.0,-212.5,329455.279,resolved:auto,17
