symbol,event,time_et,time_cn,side,entry,exit,notional_usdt,outcome,pnl_usdt_gross,fee_usdt,pnl_usdt
INTC,open,2026-07-02 09:30:00,2026-07-02 21:30:00,SHORT,126.8587,,18.1112,,,,
SOXL,open,2026-07-02 09:30:00,2026-07-02 21:30:00,SHORT,217.5875,,24.8869,,,,
CRCL,open,2026-07-02 09:30:00,2026-07-02 21:30:00,LONG,63.8321,,15.8263,,,,
HOOD,open,2026-07-02 09:30:00,2026-07-02 21:30:00,LONG,109.6226,,13.4244,,,,
COIN,open,2026-07-02 09:30:00,2026-07-02 21:30:00,LONG,162.1743,,15.9576,,,,
SNDK,open,2026-07-02 09:30:00,2026-07-02 21:30:00,SHORT,2015.1281,,20.9788,,,,
MSTR,open,2026-07-02 09:30:00,2026-07-02 21:30:00,LONG,95.5052,,20.0198,,,,
SNDK,close,2026-07-02 09:34:00,2026-07-02 21:34:00,SHORT,2015.1281,2044.3788,20.9788,loss,-0.3045,0.0168,-0.3213
SOXL,close,2026-07-02 09:35:00,2026-07-02 21:35:00,SHORT,217.5875,217.968,24.8869,loss,-0.0435,0.0199,-0.0634
CRCL,close,2026-07-02 09:36:00,2026-07-02 21:36:00,LONG,63.8321,66.9565,15.8263,win,0.7747,0.0127,0.762
SOXL,open,2026-07-02 09:36:00,2026-07-02 21:36:00,SHORT,216.0041,,24.8196,,,,
INTC,close,2026-07-02 09:36:00,2026-07-02 21:36:00,SHORT,126.8587,126.5632,18.1112,win,0.0422,0.0145,0.0277
SNDK,open,2026-07-02 09:37:00,2026-07-02 21:37:00,SHORT,2010.702,,20.6375,,,,
SOXL,close,2026-07-02 09:41:00,2026-07-02 21:41:00,SHORT,216.0041,212.7943,24.8196,win,0.3688,0.0199,0.3489
INTC,open,2026-07-02 09:41:00,2026-07-02 21:41:00,SHORT,125.5694,,18.1406,,,,
CRCL,open,2026-07-02 09:41:00,2026-07-02 21:41:00,LONG,65.3716,,16.6359,,,,
SNDK,close,2026-07-02 09:41:00,2026-07-02 21:41:00,SHORT,2010.702,1997.8464,20.6375,win,0.1319,0.0165,0.1154
HOOD,close,2026-07-02 09:42:00,2026-07-02 21:42:00,LONG,109.6226,117.5626,13.4244,win,0.9723,0.0107,0.9616
COIN,close,2026-07-02 09:45:00,2026-07-02 21:45:00,LONG,162.1743,170.7271,15.9576,win,0.8416,0.0128,0.8288
SNDK,open,2026-07-02 09:46:00,2026-07-02 21:46:00,SHORT,1988.5848,,20.7601,,,,
COIN,open,2026-07-02 09:46:00,2026-07-02 21:46:00,LONG,166.9867,,16.8382,,,,
HOOD,open,2026-07-02 09:46:00,2026-07-02 21:46:00,LONG,113.6792,,14.4461,,,,
CRCL,close,2026-07-02 09:46:00,2026-07-02 21:46:00,LONG,65.3716,67.0964,16.6359,win,0.4389,0.0133,0.4256
INTC,close,2026-07-02 09:46:00,2026-07-02 21:46:00,SHORT,125.5694,126.9534,18.1406,win,-0.2,0.0145,-0.2145
MSTR,close,2026-07-02 09:46:00,2026-07-02 21:46:00,LONG,95.5052,102.5587,20.0198,win,1.4786,0.016,1.4626
SNDK,close,2026-07-02 09:51:00,2026-07-02 21:51:00,SHORT,1988.5848,2001.2701,20.7601,loss,-0.1324,0.0166,-0.149
HOOD,close,2026-07-02 09:51:00,2026-07-02 21:51:00,LONG,113.6792,116.8715,14.4461,win,0.4057,0.0116,0.3941
CRCL,open,2026-07-02 09:51:00,2026-07-02 21:51:00,LONG,66.488,,17.0881,,,,
COIN,close,2026-07-02 09:51:00,2026-07-02 21:51:00,LONG,166.9867,170.2149,16.8382,win,0.3255,0.0135,0.312
MSTR,open,2026-07-02 09:51:00,2026-07-02 21:51:00,LONG,99.7744,,21.5739,,,,
INTC,open,2026-07-02 09:53:00,2026-07-02 21:53:00,LONG,129.6955,,17.9127,,,,
HOOD,open,2026-07-02 09:56:00,2026-07-02 21:56:00,LONG,115.6363,,14.8648,,,,
COIN,open,2026-07-02 09:56:00,2026-07-02 21:56:00,LONG,169.2104,,17.1697,,,,
CRCL,close,2026-07-02 09:56:00,2026-07-02 21:56:00,LONG,66.488,67.2364,17.0881,win,0.1923,0.0137,0.1786
MSTR,close,2026-07-02 09:56:00,2026-07-02 21:56:00,LONG,99.7744,102.4188,21.5739,win,0.5718,0.0173,0.5545
HOOD,close,2026-07-02 10:01:00,2026-07-02 22:01:00,LONG,115.6363,117.9097,14.8648,win,0.2922,0.0119,0.2803
CRCL,open,2026-07-02 10:01:00,2026-07-02 22:01:00,LONG,67.2525,,17.2778,,,,
