symbol,event,time_et,time_cn,side,entry,exit,notional_usdt,outcome,pnl_usdt_gross,fee_usdt,pnl_usdt
INTC,open,2026-07-03 09:31:00,2026-07-03 21:31:00,LONG,120.3949,,17.9708,,,,
SOXL,open,2026-07-03 09:31:00,2026-07-03 21:31:00,LONG,180.6352,,30.4109,,,,
CRCL,open,2026-07-03 09:31:00,2026-07-03 21:31:00,LONG,64.8899,,18.6726,,,,
MSTR,open,2026-07-03 09:31:00,2026-07-03 21:31:00,LONG,101.5999,,21.4929,,,,
SNDK,open,2026-07-03 09:31:00,2026-07-03 21:31:00,LONG,1751.6321,,23.1527,,,,
SOXL,close,2026-07-03 10:03:00,2026-07-03 22:03:00,LONG,180.6352,192.5997,30.4109,win,2.0143,0.0243,1.99
SOXL,open,2026-07-03 10:06:00,2026-07-03 22:06:00,LONG,191.9439,,32.5252,,,,
SOXL,close,2026-07-03 10:11:00,2026-07-03 22:11:00,LONG,191.9439,190.4247,32.5252,win,-0.2574,0.026,-0.2834
CRCL,close,2026-07-03 10:13:00,2026-07-03 22:13:00,LONG,64.8899,67.0356,18.6726,win,0.6174,0.0149,0.6025
HOOD,open,2026-07-03 10:14:00,2026-07-03 22:14:00,SHORT,111.7138,,16.7005,,,,
SNDK,close,2026-07-03 10:18:00,2026-07-03 22:18:00,LONG,1751.6321,1821.5713,23.1527,win,0.9244,0.0185,0.9059
CRCL,open,2026-07-03 10:31:00,2026-07-03 22:31:00,SHORT,66.7677,,19.3127,,,,
SNDK,open,2026-07-03 10:32:00,2026-07-03 22:32:00,SHORT,1819.0211,,24.1152,,,,
COIN,open,2026-07-03 10:34:00,2026-07-03 22:34:00,SHORT,165.7264,,17.4586,,,,
SOXL,open,2026-07-03 10:35:00,2026-07-03 22:35:00,SHORT,189.9533,,32.2241,,,,
SOXL,close,2026-07-03 10:51:00,2026-07-03 22:51:00,SHORT,189.9533,191.6158,32.2241,loss,-0.282,0.0258,-0.3078
CRCL,close,2026-07-03 10:54:00,2026-07-03 22:54:00,SHORT,66.7677,67.005,19.3127,loss,-0.0686,0.0155,-0.0841
MSTR,close,2026-07-03 11:01:00,2026-07-03 23:01:00,LONG,101.5999,105.6472,21.4929,win,0.8562,0.0172,0.839
SNDK,close,2026-07-03 11:02:00,2026-07-03 23:02:00,SHORT,1819.0211,1826.2495,24.1152,loss,-0.0958,0.0193,-0.1151
MSTR,open,2026-07-03 11:06:00,2026-07-03 23:06:00,LONG,105.1913,,22.3843,,,,
COIN,close,2026-07-03 11:06:00,2026-07-03 23:06:00,SHORT,165.7264,167.1595,17.4586,loss,-0.151,0.014,-0.165
SOXL,open,2026-07-03 11:07:00,2026-07-03 23:07:00,LONG,192.4278,,31.8971,,,,
CRCL,open,2026-07-03 11:07:00,2026-07-03 23:07:00,LONG,67.2223,,19.2234,,,,
COIN,open,2026-07-03 11:11:00,2026-07-03 23:11:00,LONG,166.918,,17.2833,,,,
SOXL,close,2026-07-03 11:39:00,2026-07-03 23:39:00,LONG,192.4278,190.9141,31.8971,loss,-0.2509,0.0255,-0.2764
MSTR,close,2026-07-03 11:40:00,2026-07-03 23:40:00,LONG,105.1913,105.0697,22.3843,loss,-0.0259,0.0179,-0.0438
CRCL,close,2026-07-03 11:41:00,2026-07-03 23:41:00,LONG,67.2223,66.7381,19.2234,loss,-0.1385,0.0154,-0.1539
SOXL,open,2026-07-03 11:54:00,2026-07-03 23:54:00,SHORT,189.8189,,31.6034,,,,
MSTR,open,2026-07-03 11:57:00,2026-07-03 23:57:00,SHORT,104.7799,,22.3378,,,,
CRCL,open,2026-07-03 11:58:00,2026-07-03 23:58:00,SHORT,66.6398,,19.0599,,,,
SOXL,close,2026-07-03 12:04:00,2026-07-04 00:04:00,SHORT,189.8189,191.5149,31.6034,loss,-0.2824,0.0253,-0.3077
MSTR,close,2026-07-03 12:22:00,2026-07-04 00:22:00,SHORT,104.7799,105.6408,22.3378,loss,-0.1835,0.0179,-0.2014
INTC,close,2026-07-03 12:31:00,2026-07-04 00:31:00,LONG,120.3949,122.8176,17.9708,win,0.3616,0.0144,0.3472
CRCL,close,2026-07-03 12:34:00,2026-07-04 00:34:00,SHORT,66.6398,67.0151,19.0599,loss,-0.1074,0.0152,-0.1226
