symbol,event,time_et,time_cn,side,entry,exit,notional_usdt,outcome,pnl_usdt_gross,fee_usdt,pnl_usdt
INTC,open,2026-07-03 09:30:00,2026-07-03 21:30:00,LONG,120.3949,,17.5571,,,,
SOXL,open,2026-07-03 09:30:00,2026-07-03 21:30:00,LONG,180.6352,,26.1824,,,,
SNDK,open,2026-07-03 09:30:00,2026-07-03 21:30:00,LONG,1751.6321,,22.2168,,,,
CRCL,open,2026-07-03 09:30:00,2026-07-03 21:30:00,LONG,64.8899,,16.7071,,,,
MSTR,open,2026-07-03 09:30:00,2026-07-03 21:30:00,LONG,101.5999,,21.1819,,,,
SOXL,close,2026-07-03 10:03:00,2026-07-03 22:03:00,LONG,180.6352,192.5997,26.1824,win,1.7342,0.0209,1.7133
HOOD,open,2026-07-03 10:13:00,2026-07-03 22:13:00,SHORT,111.8237,,14.9752,,,,
CRCL,close,2026-07-03 10:13:00,2026-07-03 22:13:00,LONG,64.8899,67.0356,16.7071,win,0.5524,0.0134,0.539
SNDK,close,2026-07-03 10:18:00,2026-07-03 22:18:00,LONG,1751.6321,1821.5713,22.2168,win,0.8871,0.0178,0.8693
CRCL,open,2026-07-03 10:31:00,2026-07-03 22:31:00,SHORT,66.7677,,17.2798,,,,
SNDK,open,2026-07-03 10:32:00,2026-07-03 22:32:00,SHORT,1819.0211,,23.1404,,,,
COIN,open,2026-07-03 10:34:00,2026-07-03 22:34:00,SHORT,165.7264,,16.4727,,,,
SOXL,open,2026-07-03 10:35:00,2026-07-03 22:35:00,SHORT,189.9533,,28.0028,,,,
SOXL,close,2026-07-03 10:51:00,2026-07-03 22:51:00,SHORT,189.9533,191.6158,28.0028,loss,-0.2451,0.0224,-0.2675
CRCL,close,2026-07-03 10:54:00,2026-07-03 22:54:00,SHORT,66.7677,67.005,17.2798,loss,-0.0614,0.0138,-0.0752
MSTR,close,2026-07-03 11:01:00,2026-07-03 23:01:00,LONG,101.5999,105.6472,21.1819,win,0.8438,0.0169,0.8269
SNDK,close,2026-07-03 11:02:00,2026-07-03 23:02:00,SHORT,1819.0211,1826.2495,23.1404,loss,-0.092,0.0185,-0.1105
COIN,close,2026-07-03 11:06:00,2026-07-03 23:06:00,SHORT,165.7264,167.1595,16.4727,loss,-0.1425,0.0132,-0.1557
MSTR,open,2026-07-03 11:06:00,2026-07-03 23:06:00,LONG,105.1913,,22.0605,,,,
SOXL,open,2026-07-03 11:07:00,2026-07-03 23:07:00,LONG,192.4278,,27.7186,,,,
CRCL,open,2026-07-03 11:07:00,2026-07-03 23:07:00,LONG,67.2223,,17.1999,,,,
COIN,open,2026-07-03 11:11:00,2026-07-03 23:11:00,LONG,166.918,,16.3073,,,,
SOXL,close,2026-07-03 11:39:00,2026-07-03 23:39:00,LONG,192.4278,190.9141,27.7186,loss,-0.218,0.0222,-0.2402
MSTR,close,2026-07-03 11:40:00,2026-07-03 23:40:00,LONG,105.1913,105.0697,22.0605,loss,-0.0255,0.0176,-0.0431
CRCL,close,2026-07-03 11:41:00,2026-07-03 23:41:00,LONG,67.2223,66.7381,17.1999,loss,-0.1239,0.0138,-0.1377
SOXL,open,2026-07-03 11:54:00,2026-07-03 23:54:00,SHORT,189.8189,,27.4634,,,,
MSTR,open,2026-07-03 11:57:00,2026-07-03 23:57:00,SHORT,104.7799,,22.0147,,,,
CRCL,open,2026-07-03 11:58:00,2026-07-03 23:58:00,SHORT,66.6398,,17.0535,,,,
SOXL,close,2026-07-03 12:04:00,2026-07-04 00:04:00,SHORT,189.8189,191.5149,27.4634,loss,-0.2454,0.022,-0.2674
MSTR,close,2026-07-03 12:22:00,2026-07-04 00:22:00,SHORT,104.7799,105.6408,22.0147,loss,-0.1809,0.0176,-0.1985
MSTR,open,2026-07-03 12:30:00,2026-07-04 00:30:00,LONG,105.7101,,21.8038,,,,
INTC,close,2026-07-03 12:31:00,2026-07-04 00:31:00,LONG,120.3949,122.8176,17.5571,win,0.3533,0.014,0.3393
CRCL,close,2026-07-03 12:34:00,2026-07-04 00:34:00,SHORT,66.6398,67.0151,17.0535,loss,-0.0961,0.0136,-0.1097
INTC,open,2026-07-03 12:36:00,2026-07-04 00:36:00,SHORT,123.0397,,17.9176,,,,
SOXL,open,2026-07-03 12:40:00,2026-07-04 00:40:00,SHORT,189.8412,,27.1793,,,,
MSTR,close,2026-07-03 12:50:00,2026-07-04 00:50:00,LONG,105.7101,104.7921,21.8038,loss,-0.1894,0.0174,-0.2068
SNDK,open,2026-07-03 12:56:00,2026-07-04 00:56:00,LONG,1823.3292,,23.023,,,,
CRCL,open,2026-07-03 12:59:00,2026-07-04 00:59:00,LONG,67.1079,,16.937,,,,
SOXL,close,2026-07-03 13:03:00,2026-07-04 01:03:00,SHORT,189.8412,190.7182,27.1793,loss,-0.1256,0.0217,-0.1473
INTC,close,2026-07-03 13:11:00,2026-07-04 01:11:00,SHORT,123.0397,122.1711,17.9176,session_close,0.1265,0.0143,0.1122
HOOD,close,2026-07-03 13:12:00,2026-07-04 01:12:00,SHORT,111.8237,112.3361,14.9752,session_close,-0.0686,0.012,-0.0806
CRCL,close,2026-07-03 13:13:00,2026-07-04 01:13:00,LONG,67.1079,67.0864,16.937,session_close,-0.0054,0.0135,-0.0189
COIN,close,2026-07-03 13:13:00,2026-07-04 01:13:00,LONG,166.918,166.7766,16.3073,session_close,-0.0138,0.013,-0.0268
SNDK,close,2026-07-03 13:14:00,2026-07-04 01:14:00,LONG,1823.3292,1831.7337,23.023,session_close,0.1061,0.0184,0.0877
