session_date,side,entry,exit,sl,notional_usdt,pnl_usdt_gross,fee_usdt,pnl_usdt,outcome,hold_minutes,wallet_after,entry_ms
2026-02-09,LONG,166.4389,165.7235,163.1101,425.0,-1.8267,0.34,-2.1667,loss,45.0,997.8333,1770658560000
2026-02-09,SHORT,164.8627,165.6749,168.1599,424.0792,-2.0893,0.3393,-2.4286,loss,38.0,995.4047,1770661560000
2026-02-09,LONG,166.581,166.1798,163.2493,423.047,-1.0187,0.3384,-1.3571,loss,1140.0,994.0476,1770665400000
2026-02-10,SHORT,166.2898,163.3565,169.6156,422.4702,7.4524,0.338,7.1144,win,5.0,1001.162,1770733860000
2026-02-10,SHORT,164.3498,164.1326,167.6368,425.4939,0.5623,0.3404,0.2219,win,5.0,1001.3839,1770734460000
2026-02-10,LONG,166.8988,165.8624,163.5608,425.5882,-2.6427,0.3405,-2.9832,loss,9.0,998.4007,1770737760000
2026-02-10,LONG,167.8407,166.5469,164.4839,424.3203,-3.2709,0.3395,-3.6104,loss,6.0,994.7903,1770740040000
2026-02-10,SHORT,165.5123,164.5862,168.8225,422.7859,2.3655,0.3382,2.0273,win,68.0,996.8176,1770746700000
2026-02-10,LONG,165.2673,164.3744,161.962,423.6475,-2.2889,0.3389,-2.6278,loss,23.0,994.1898,1770751920000
2026-02-10,SHORT,163.6646,157.7117,166.9379,422.5307,15.3687,0.338,15.0307,win,1100.0,1009.2205,1770754380000
2026-02-11,SHORT,160.4566,154.9195,163.6658,428.9187,14.8014,0.3431,14.4583,win,5.0,1023.6788,1770820560000
2026-02-11,SHORT,157.7509,151.5427,160.9059,435.0635,17.1216,0.3481,16.7735,win,46.0,1040.4523,1770821160000
2026-02-11,SHORT,150.872,151.8754,153.8894,442.1922,-2.9408,0.3538,-3.2946,loss,4.0,1037.1577,1770824220000
2026-02-11,SHORT,150.7281,151.9258,153.7426,440.792,-3.5026,0.3526,-3.8552,loss,21.0,1033.3025,1770824940000
2026-02-11,SHORT,150.673,150.1114,153.6865,439.1536,1.6371,0.3513,1.2858,win,77.0,1034.5883,1770829140000
2026-02-11,LONG,151.2633,152.0042,148.2381,439.7,2.1535,0.3518,1.8017,win,87.0,1036.39,1770836340000
2026-02-11,LONG,153.0998,152.3414,150.0378,440.4657,-2.1817,0.3524,-2.5341,loss,1065.0,1033.8559,1770842700000
2026-02-12,SHORT,151.9723,147.2587,155.0118,439.3888,13.6281,0.3515,13.2766,win,44.0,1047.1325,1770906660000
2026-02-12,SHORT,145.9107,141.4728,148.8289,445.0313,13.5357,0.356,13.1797,win,59.0,1060.3122,1770910620000
2026-02-12,SHORT,141.2925,140.495,144.1184,450.6327,2.5435,0.3605,2.183,win,41.0,1062.4952,1770914460000
2026-02-12,LONG,141.8505,142.481,139.0135,451.5605,2.007,0.3612,1.6458,win,35.0,1064.141,1770924180000
2026-02-13,LONG,142.9482,152.5894,140.0892,452.2599,30.5031,0.3618,30.1413,win,1.0,1094.2823,1770993000000
2026-02-13,LONG,145.9643,148.8893,143.045,465.07,9.3195,0.3721,8.9474,win,5.0,1103.2297,1770993360000
2026-02-13,LONG,148.2272,153.6608,145.2627,468.8726,17.1875,0.3751,16.8124,win,10.0,1120.0421,1770993960000
2026-02-13,LONG,152.9543,163.5808,149.8952,476.0179,33.0714,0.3808,32.6906,win,37.0,1152.7327,1770994860000
2026-02-13,LONG,162.0821,162.0928,158.8404,489.9114,0.0324,0.3919,-0.3595,win,5.0,1152.3732,1770997260000
2026-02-13,LONG,162.5572,162.4598,159.306,489.7586,-0.2932,0.3918,-0.685,loss,5.0,1151.6882,1770997860000
2026-02-13,LONG,163.6079,163.0054,160.3358,489.4675,-1.8025,0.3916,-2.1941,loss,3.0,1149.4941,1770998880000
2026-02-13,LONG,164.7749,163.6106,161.4794,488.535,-3.4522,0.3908,-3.843,loss,5.0,1145.6511,1770999360000
2026-02-13,LONG,165.792,165.6045,162.4761,486.9017,-0.5506,0.3895,-0.9401,loss,15.0,1144.711,1771001100000
2026-02-13,SHORT,164.7471,162.2779,168.0421,486.5022,7.2917,0.3892,6.9025,win,5392.0,1151.6135,1771015140000
2026-02-17,SHORT,162.6581,159.7378,165.9112,489.4357,8.7872,0.3915,8.3957,win,10.0,1160.0092,1771338960000
2026-02-17,SHORT,160.1285,159.8486,163.3311,493.0039,0.8617,0.3944,0.4673,win,5.0,1160.4765,1771339860000
2026-02-17,LONG,164.3746,169.0864,161.0871,493.2025,14.1376,0.3946,13.743,win,41.0,1174.2195,1771342800000
2026-02-17,LONG,168.5446,168.5011,165.1737,499.0433,-0.1288,0.3992,-0.528,loss,57.0,1173.6915,1771352520000
2026-02-17,SHORT,167.4823,166.2797,170.8319,498.8189,3.5818,0.3991,3.1827,win,68.0,1176.8742,1771357620000
2026-02-18,LONG,167.1014,167.3107,163.7593,500.1715,0.6267,0.4001,0.2266,win,5.0,1177.1008,1771425060000
2026-02-18,LONG,168.3141,168.8682,164.9478,500.2678,1.6469,0.4002,1.2467,win,6.0,1178.3475,1771425660000
2026-02-18,LONG,169.4003,171.6259,166.0123,500.7977,6.5796,0.4006,6.179,win,16.0,1184.5265,1771426320000
2026-02-18,LONG,173.1248,172.1715,169.6623,503.4238,-2.7719,0.4027,-3.1746,loss,5.0,1181.3519,1771429200000
2026-02-18,SHORT,169.118,166.945,172.5004,502.0746,6.4514,0.4017,6.0497,win,135.0,1187.4016,1771432800000
2026-02-18,SHORT,165.4923,164.4451,168.8022,504.6457,3.1933,0.4037,2.7896,win,32.0,1190.1912,1771443060000
2026-02-19,SHORT,163.3764,162.913,166.6439,505.8313,1.4349,0.4047,1.0302,win,1.0,1191.2214,1771511400000
2026-02-19,SHORT,162.7672,162.5098,166.0225,506.2691,0.8007,0.405,0.3957,win,5.0,1191.6171,1771511760000
2026-02-19,SHORT,162.2279,162.9835,165.4724,506.4373,-2.3589,0.4051,-2.764,loss,5.0,1188.8531,1771512360000
2026-02-19,LONG,166.2361,166.1302,162.9113,505.2626,-0.3216,0.4042,-0.7258,loss,5.0,1188.1273,1771512960000
2026-02-19,LONG,164.6106,164.4141,161.3184,504.9541,-0.6028,0.404,-1.0068,loss,32.0,1187.1205,1771520100000
2026-02-19,SHORT,163.3106,163.921,166.5768,504.5262,-1.8856,0.4036,-2.2892,loss,33.0,1184.8313,1771529340000
2026-02-19,LONG,165.0675,165.2672,161.7662,503.5533,0.6092,0.4028,0.2064,win,1064.0,1185.0377,1771533960000
2026-02-20,LONG,166.0688,168.8781,162.7474,503.641,8.5197,0.4029,8.1168,win,6.0,1193.1545,1771597860000
2026-02-20,LONG,168.0807,167.8464,164.7191,507.0907,-0.7069,0.4057,-1.1126,loss,5.0,1192.0419,1771598460000
2026-02-20,LONG,169.0712,171.8739,165.6897,506.6178,8.3984,0.4053,7.9931,win,7.0,1200.035,1771599540000
2026-02-20,LONG,171.8239,171.8045,168.3875,510.0149,-0.0577,0.408,-0.4657,loss,5.0,1199.5693,1771600260000
2026-02-20,LONG,174.1584,174.0762,170.6752,509.817,-0.2407,0.4079,-0.6486,loss,15.0,1198.9207,1771603260000
2026-02-20,SHORT,170.5961,168.6586,174.008,509.5413,5.787,0.4076,5.3794,win,29.0,1204.3001,1771607340000
2026-02-20,SHORT,168.1491,169.0618,171.5121,511.8275,-2.7779,0.4095,-3.1874,loss,11.0,1201.1127,1771611660000
2026-02-20,LONG,170.9121,170.4058,167.4939,510.4729,-1.5124,0.4084,-1.9208,loss,19.0,1199.1919,1771613100000
2026-02-20,LONG,171.4491,171.001,168.0202,509.6566,-1.3323,0.4077,-1.74,loss,27.0,1197.4519,1771617000000
2026-02-20,SHORT,169.9213,171.2693,173.3197,508.9171,-4.0372,0.4071,-4.4443,loss,15.0,1193.0076,1771619100000
2026-02-23,SHORT,170.1041,163.6085,173.5062,507.0282,19.3614,0.4056,18.9558,win,13.0,1211.9634,1771857000000
2026-02-23,SHORT,165.806,165.433,169.1221,515.0844,1.1588,0.4121,0.7467,win,5.0,1212.7101,1771857960000
2026-02-23,SHORT,163.6703,163.3867,166.9437,515.4018,0.8931,0.4123,0.4808,win,34.0,1213.1909,1771862040000
2026-02-23,SHORT,161.846,159.9797,165.083,515.6061,5.9458,0.4125,5.5333,win,210.0,1218.7242,1771867560000
2026-02-24,SHORT,158.6367,154.0224,161.8095,517.9578,15.0661,0.4144,14.6517,win,6.0,1233.3759,1771943400000
2026-02-24,SHORT,155.839,155.5042,158.9558,524.1848,1.1264,0.4193,0.7071,win,5.0,1234.083,1771944060000
2026-02-24,SHORT,154.5697,155.4437,157.6611,524.4853,-2.9656,0.4196,-3.3852,loss,9.0,1230.6978,1771945200000
2026-02-24,LONG,159.2632,158.4125,156.0779,523.0466,-2.7938,0.4184,-3.2122,loss,4.0,1227.4856,1771947120000
2026-02-24,LONG,159.5544,160.9222,156.3633,521.6814,4.4723,0.4173,4.055,win,68.0,1231.5406,1771956240000
2026-02-24,LONG,160.9337,172.9155,157.715,523.4048,38.9685,0.4187,38.5498,win,1083.0,1270.0904,1771965180000
2026-02-25,LONG,167.7324,171.5862,164.3778,539.7884,12.4022,0.4318,11.9704,win,14.0,1282.0608,1772030460000
