day,symbol,skipped,reason,open_dir,n_legs,long_pnl,short_pnl,total_pnl
2026-06-25,INTC,False,,up,2,-2.9,0.72,-2.18
2026-06-26,INTC,False,,up,1,1.15,0,1.15
2026-06-29,INTC,False,,up,2,-0.47,-7.86,-8.33
2026-06-30,INTC,False,,up,1,5.93,0,5.93
2026-07-01,INTC,False,,down,1,0,6.37,6.37
2026-07-02,INTC,False,,up,2,-1.45,1.74,0.29
2026-07-03,INTC,False,,up,2,-0.41,-0.1,-0.51
2026-06-25,SOXL,False,,up,2,-6.5,-9.84,-16.34
2026-06-26,SOXL,False,,down,1,0,-13.69,-13.69
2026-06-29,SOXL,False,,up,2,-3.92,-14.45,-18.37
2026-06-30,SOXL,False,,up,1,18.48,0,18.48
2026-07-01,SOXL,False,,down,1,0,17.29,17.29
2026-07-02,SOXL,False,,up,2,-8.54,19.55,11.01
2026-07-03,SOXL,False,,up,2,-2.57,-0.62,-3.19
2026-06-25,HOOD,False,,down,1,0,2.92,2.92
2026-06-26,HOOD,False,,up,1,4.21,0,4.21
2026-06-29,HOOD,False,,up,2,0.22,-3.42,-3.2
2026-06-30,HOOD,False,,up,1,-1.72,0,-1.72
2026-07-01,HOOD,False,,up,1,7.29,0,7.29
2026-07-02,HOOD,False,,up,1,-5.52,0,-5.52
2026-07-03,HOOD,False,,up,1,0.01,0,0.01
2026-06-25,CRCL,False,,down,1,0,0.86,0.86
2026-06-26,CRCL,True,no_open_dir,,,,,0
2026-06-29,CRCL,False,,down,2,0.0,-1.7,-1.7
2026-06-30,CRCL,False,,up,2,-1.03,7.25,6.22
2026-07-01,CRCL,False,,up,2,-0.46,1.22,0.76
2026-07-02,CRCL,False,,up,1,-2.15,0,-2.15
2026-07-03,CRCL,False,,up,1,-0.44,0,-0.44
2026-06-25,COIN,False,,down,1,0,7.39,7.39
2026-06-26,COIN,False,,up,1,7.5,0,7.5
2026-06-29,COIN,False,,up,2,-1.27,-5.93,-7.2
2026-06-30,COIN,False,,up,2,-0.42,-2.89,-3.31
2026-07-01,COIN,False,,up,2,12.13,1.4,13.53
2026-07-02,COIN,False,,up,2,-6.49,-1.91,-8.4
2026-07-03,COIN,False,,up,1,0.19,0,0.19
2026-06-25,SNDK,False,,up,2,-61.52,-189.0,-250.52
2026-06-26,SNDK,False,,down,2,-116.5,-98.84,-215.34
2026-06-29,SNDK,False,,up,2,-1.23,-87.19,-88.42
2026-06-30,SNDK,False,,up,1,161.17,0,161.17
2026-07-01,SNDK,False,,down,1,0,39.96,39.96
2026-07-02,SNDK,True,no_open_dir,,,,,0
2026-07-03,SNDK,True,no_open_dir,,,,,0
2026-06-25,MSTR,False,,down,1,0,7.66,7.66
2026-06-26,MSTR,False,,up,1,-0.98,0,-0.98
2026-06-29,MSTR,False,,down,2,1.21,-2.04,-0.83
2026-06-30,MSTR,False,,down,1,0,-1.81,-1.81
2026-07-01,MSTR,False,,up,1,3.97,0,3.97
2026-07-02,MSTR,False,,up,1,-3.21,0,-3.21
2026-07-03,MSTR,False,,down,1,0,-1.23,-1.23
