day,symbol,open_dir,side,entry_time,exit_time,entry,exit,stop,pnl,pct,reason
2026-06-25,INTC,up,long,09:30,09:40,140.37,137.47,137.47,-2.9,-2.07,sl
2026-06-26,INTC,up,long,09:30,15:55,126.63,127.78,125.54,1.15,0.91,eod
2026-06-29,INTC,up,long,09:30,09:35,126.01,125.54,125.54,-0.47,-0.37,sl
2026-06-25,SOXL,up,long,09:30,09:40,267.09,260.59,260.59,-6.5,-2.43,sl
2026-06-26,SOXL,down,short,09:30,10:05,217.49,231.18,231.18,-13.69,-6.29,sl
2026-06-29,SOXL,up,long,09:30,09:35,220.4,216.48,216.48,-3.92,-1.78,sl
2026-06-30,SOXL,up,long,09:30,15:55,248.59,267.07,236.26,18.48,7.43,eod
2026-07-01,SOXL,down,short,09:30,15:55,234.59,217.3,258.16,17.29,7.37,eod
2026-07-02,SOXL,up,long,09:30,10:25,217.58,209.04,209.04,-8.54,-3.92,sl
2026-07-03,SOXL,up,long,09:30,10:05,192.75,190.18,190.18,-2.57,-1.33,sl
2026-06-25,HOOD,down,short,09:30,15:55,96.5,93.58,99.83,2.92,3.03,eod
2026-06-26,HOOD,up,long,09:30,15:55,94.5,98.71,91.75,4.21,4.46,eod
2026-06-29,HOOD,up,long,09:30,09:35,99.89,100.11,100.11,0.22,0.22,sl
2026-06-30,HOOD,up,long,09:30,14:05,101.69,99.97,99.97,-1.72,-1.69,sl
2026-07-01,HOOD,up,long,09:30,15:55,101.41,108.7,99.37,7.29,7.19,eod
2026-07-02,HOOD,up,long,09:30,12:30,117.16,111.64,111.64,-5.52,-4.71,sl
2026-07-03,HOOD,up,long,09:30,12:55,112.19,112.2,111.29,0.01,0.01,eod
2026-06-25,CRCL,down,short,09:30,15:55,69.74,68.88,73.41,0.86,1.23,eod
2026-06-29,CRCL,down,short,09:30,15:45,74.28,75.98,75.98,-1.7,-2.29,sl
2026-06-30,CRCL,up,long,09:30,09:35,73.07,72.04,72.04,-1.03,-1.41,sl
2026-07-01,CRCL,up,long,09:30,14:40,63.83,63.37,61.1,-0.46,-0.72,flip_down
2026-07-01,CRCL,up,short,14:40,15:55,63.37,62.15,66.13,1.22,1.93,eod
2026-07-02,CRCL,up,long,09:30,15:55,66.89,64.74,62.96,-2.15,-3.21,eod
2026-07-03,CRCL,up,long,09:30,12:55,67.49,67.05,63.05,-0.44,-0.65,eod
2026-06-25,COIN,down,short,09:30,15:55,150.12,142.73,153.86,7.39,4.92,eod
2026-06-26,COIN,up,long,09:30,15:55,141.52,149.02,139.46,7.5,5.3,eod
2026-06-29,COIN,up,long,09:30,09:35,150.27,149.0,149.0,-1.27,-0.85,sl
2026-06-30,COIN,up,long,09:30,09:35,145.82,145.4,145.4,-0.42,-0.29,sl
2026-07-01,COIN,up,long,09:30,15:50,148.58,160.71,142.68,12.13,8.16,flip_down
2026-07-01,COIN,up,short,15:50,15:55,160.71,159.31,164.52,1.4,0.87,eod
2026-07-02,COIN,up,long,09:30,12:30,170.52,164.03,164.03,-6.49,-3.81,sl
2026-07-03,COIN,up,long,09:30,12:55,166.45,166.64,165.49,0.19,0.11,eod
2026-06-25,MSTR,down,short,09:30,15:55,93.02,85.36,96.62,7.66,8.23,eod
2026-06-26,MSTR,up,long,09:30,14:45,83.12,82.14,82.14,-0.98,-1.18,sl
2026-06-29,MSTR,down,short,09:30,11:35,87.2,89.24,89.24,-2.04,-2.34,sl
2026-06-30,MSTR,down,short,09:30,15:55,85.2,87.01,89.73,-1.81,-2.12,eod
2026-07-01,MSTR,up,long,09:30,15:55,89.44,93.41,86.06,3.97,4.44,eod
2026-07-02,MSTR,up,long,09:30,12:25,101.42,98.21,98.21,-3.21,-3.17,sl
2026-07-03,MSTR,down,short,09:30,10:55,103.96,105.19,105.19,-1.23,-1.18,sl
