day,symbol,time_et,dir,entry,stop,box_hh,box_ll,box_pct,birth_disp_pct,disp_pct,pct_1,ok_1,pct_4,ok_4,pct_20,ok_20,stop_hit_20
2026-06-25,INTC,09:45,down,133.82,140.91,140.91,135.96,3.7,81.8,81.8,3.22,+,3.32,+,3.53,+,N
2026-06-25,INTC,09:50,down,129.51,140.91,140.91,132.71,6.33,82.0,82.0,2.93,+,-0.28,-,0.02,+,N
2026-06-25,INTC,09:55,down,125.72,140.91,140.91,129.31,9.23,82.2,82.2,-1.03,-,-3.1,-,-3.03,-,N
2026-06-29,INTC,09:35,down,123.76,140.91,140.91,125.54,12.42,82.4,82.4,-0.52,-,1.34,+,-0.7,-,N
2026-06-29,INTC,09:55,down,122.1,129.96,129.96,123.3,5.45,82.6,82.6,-0.23,-,1.92,+,-2.77,-,N
2026-06-29,INTC,10:05,down,121.15,129.96,129.96,121.65,6.86,82.8,82.8,1.45,+,0.14,+,-3.68,-,N
2026-06-29,INTC,10:10,down,119.39,129.96,129.96,120.68,7.77,83.0,83.0,-0.31,-,-2.3,-,-5.75,-,N
2026-06-29,INTC,13:25,up,130.69,124.22,130.11,124.22,4.51,86.3,86.3,-0.08,-,0.21,+,0.34,+,N
2026-06-29,INTC,13:35,up,130.72,124.62,130.69,124.62,4.64,86.4,86.4,0.06,+,0.02,+,0.15,+,N
2026-06-29,INTC,14:35,up,131.25,125.5,131.21,125.5,4.35,86.5,86.5,0.0,-,0.07,+,0.4,+,N
2026-06-29,INTC,14:45,up,131.41,128.16,131.38,128.16,2.45,86.7,86.7,0.11,+,-0.21,-,0.28,+,N
2026-06-29,INTC,15:55,up,131.78,128.42,131.61,128.42,2.42,86.8,86.8,0.0,-,0.0,-,0.0,-,N
2026-06-30,INTC,09:40,up,134.67,130.22,134.19,130.22,2.95,85.5,85.5,-0.05,-,2.61,+,4.08,+,N
2026-06-30,INTC,09:50,up,135.97,130.22,135.29,130.22,3.73,85.6,85.6,0.99,+,1.01,+,3.47,+,N
2026-06-30,INTC,09:55,up,137.32,130.22,136.21,130.22,4.36,85.7,85.7,0.63,+,-0.11,-,1.72,+,N
2026-06-30,INTC,10:00,up,138.18,130.22,137.57,130.22,5.32,85.9,85.9,-0.35,-,-0.62,-,1.1,+,N
2026-06-30,INTC,11:05,up,139.13,130.22,138.25,130.22,5.77,86.0,86.0,0.85,+,0.62,+,1.56,+,N
2026-06-30,INTC,11:10,up,140.31,131.17,139.3,131.17,5.79,86.1,86.1,-0.02,-,0.27,+,1.05,+,N
2026-06-30,INTC,11:30,up,140.69,131.17,140.42,131.17,6.57,86.1,86.1,-0.72,-,-0.52,-,0.5,+,N
