session_date,symbol,macro_skip_day,obs_formed,opens,fill_skips,gross_pnl_usdt,fees_usdt,net_pnl_usdt,equity_end
2026-02-09,COINUSDT,False,2,0,2,0,0,0,1000.0
2026-02-10,COINUSDT,False,7,1,0,-8.41,0.28,-8.69,991.3094
2026-02-11,COINUSDT,False,5,1,2,-8.43,0.4,-8.82,982.4881
2026-02-12,COINUSDT,False,6,1,2,-1.34,0.49,-1.83,980.6531
2026-02-13,COINUSDT,True,0,0,0,0.0,0.0,0.0,980.6531
2026-02-17,COINUSDT,False,11,1,1,-0.46,0.1,-0.56,980.0897
2026-02-18,COINUSDT,False,7,1,3,16.66,0.64,16.02,996.1071
2026-02-19,COINUSDT,False,7,0,7,0,0,0,996.1071
2026-02-20,COINUSDT,False,7,0,7,0,0,0,996.1071
2026-02-23,COINUSDT,False,6,1,4,1.25,0.52,0.72,996.8312
2026-02-24,COINUSDT,False,10,1,1,14.72,0.28,14.44,1011.2662
2026-02-25,COINUSDT,False,5,1,0,10.05,0.11,9.95,1021.2126
2026-02-26,COINUSDT,False,9,1,8,0.7,0.69,0.01,1021.2216
2026-02-27,COINUSDT,False,7,0,7,0,0,0,1021.2216
2026-03-02,COINUSDT,False,5,0,5,0,0,0,1021.2216
2026-03-03,COINUSDT,False,8,0,8,0,0,0,1021.2216
2026-03-04,COINUSDT,False,4,1,1,-0.34,0.32,-0.66,1020.5614
2026-03-05,COINUSDT,False,9,1,6,17.35,0.65,16.7,1037.265
2026-03-06,COINUSDT,False,3,1,2,0.29,0.43,-0.14,1037.1268
2026-03-09,COINUSDT,False,10,1,0,-3.44,0.13,-3.58,1033.5515
2026-03-10,COINUSDT,False,7,1,5,6.76,0.5,6.25,1039.8045
2026-03-11,COINUSDT,True,0,0,0,0.0,0.0,0.0,1039.8045
2026-03-12,COINUSDT,False,2,1,1,-5.21,0.33,-5.54,1034.2633
2026-03-13,COINUSDT,False,4,1,0,17.58,0.41,17.17,1051.434
2026-03-16,COINUSDT,False,7,1,1,1.42,0.25,1.17,1052.6028
2026-03-17,COINUSDT,False,7,1,0,17.89,0.4,17.49,1070.0967
2026-03-18,COINUSDT,True,0,0,0,0.0,0.0,0.0,1070.0967
2026-03-19,COINUSDT,False,7,1,0,18.19,0.68,17.51,1087.604
2026-03-20,COINUSDT,False,7,0,7,0,0,0,1087.604
2026-03-23,COINUSDT,False,10,0,10,0,0,0,1087.604
2026-03-24,COINUSDT,False,7,0,7,0,0,0,1087.604
2026-03-25,COINUSDT,False,6,1,2,18.49,0.43,18.06,1105.6664
2026-03-26,COINUSDT,False,5,0,5,0,0,0,1105.6664
2026-03-27,COINUSDT,False,6,0,6,0,0,0,1105.6664
2026-03-30,COINUSDT,False,6,0,6,0,0,0,1105.6664
2026-03-31,COINUSDT,False,6,1,2,18.8,0.46,18.34,1124.0028
2026-04-01,COINUSDT,False,7,1,3,-9.55,0.4,-9.96,1114.0454
2026-04-02,COINUSDT,False,5,0,5,0,0,0,1114.0454
2026-04-06,COINUSDT,False,5,1,2,9.57,0.61,8.95,1122.9976
2026-04-07,COINUSDT,False,7,0,7,0,0,0,1122.9976
2026-04-08,COINUSDT,False,7,0,7,0,0,0,1122.9976
2026-04-09,COINUSDT,False,8,1,3,-9.55,0.53,-10.08,1112.92
2026-04-10,COINUSDT,True,0,0,0,0.0,0.0,0.0,1112.92
2026-04-13,COINUSDT,False,8,1,3,-6.31,0.45,-6.77,1106.1544
2026-04-14,COINUSDT,False,6,1,5,1.62,0.85,0.77,1106.921
2026-04-15,COINUSDT,False,9,0,9,0,0,0,1106.921
2026-04-16,COINUSDT,False,8,0,8,0,0,0,1106.921
2026-04-17,COINUSDT,False,9,0,9,0,0,0,1106.921
2026-04-20,COINUSDT,False,8,0,8,0,0,0,1106.921
2026-04-21,COINUSDT,False,8,1,3,18.82,0.51,18.31,1125.2261
2026-04-22,COINUSDT,False,5,0,5,0,0,0,1125.2261
2026-04-23,COINUSDT,False,4,0,4,0,0,0,1125.2261
2026-04-24,COINUSDT,False,3,1,0,7.86,0.76,7.09,1132.321
2026-04-27,COINUSDT,False,6,0,6,0,0,0,1132.321
2026-04-28,COINUSDT,False,7,1,2,-9.62,0.38,-10.0,1122.3207
2026-04-29,COINUSDT,True,0,0,0,0.0,0.0,0.0,1122.3207
2026-04-30,COINUSDT,False,5,0,5,0,0,0,1122.3207
2026-05-01,COINUSDT,False,6,1,0,-4.65,0.31,-4.96,1117.3608
2026-05-04,COINUSDT,False,5,0,5,0,0,0,1117.3608
2026-05-05,COINUSDT,False,4,1,2,6.09,0.7,5.39,1122.7468
2026-05-06,COINUSDT,False,4,0,4,0,0,0,1122.7468
2026-05-07,COINUSDT,False,6,1,1,19.09,0.53,18.55,1141.3013
2026-05-08,COINUSDT,False,6,0,6,0,0,0,1141.3013
2026-05-11,COINUSDT,False,7,1,2,19.4,0.47,18.94,1160.2381
2026-05-12,COINUSDT,True,0,0,0,0.0,0.0,0.0,1160.2381
2026-05-13,COINUSDT,False,8,1,6,3.54,0.75,2.79,1163.0259
2026-05-14,COINUSDT,False,8,0,8,0,0,0,1163.0259
2026-05-15,COINUSDT,False,9,1,7,4.26,0.39,3.87,1166.8947
2026-05-18,COINUSDT,False,3,0,3,0,0,0,1166.8947
2026-05-19,COINUSDT,False,4,0,4,0,0,0,1166.8947
2026-05-20,COINUSDT,False,6,0,6,0,0,0,1166.8947
2026-05-21,COINUSDT,False,3,1,0,19.84,0.51,19.32,1186.217
2026-05-22,COINUSDT,False,6,0,6,0,0,0,1186.217
2026-05-26,COINUSDT,False,5,0,5,0,0,0,1186.217
2026-05-27,COINUSDT,False,3,0,3,0,0,0,1186.217
2026-05-28,COINUSDT,False,4,1,2,9.61,0.61,9.0,1195.217
2026-05-29,COINUSDT,False,7,1,2,1.48,0.45,1.03,1196.2435
2026-06-01,COINUSDT,False,8,0,8,0,0,0,1196.2435
2026-06-02,COINUSDT,False,6,1,0,5.62,0.36,5.26,1201.5042
2026-06-03,COINUSDT,False,5,1,0,20.43,0.48,19.95,1221.4499
2026-06-04,COINUSDT,False,6,1,3,-2.02,0.87,-2.89,1218.5575
2026-06-05,COINUSDT,False,5,0,5,0,0,0,1218.5575
2026-06-08,COINUSDT,False,7,1,5,2.09,0.62,1.48,1220.0332
2026-06-09,COINUSDT,False,5,1,2,-6.67,0.44,-7.11,1212.9272
2026-06-10,COINUSDT,True,0,0,0,0.0,0.0,0.0,1212.9272
2026-06-11,COINUSDT,False,6,1,1,-10.31,0.47,-10.78,1202.1466
2026-06-12,COINUSDT,False,8,1,1,-1.24,0.16,-1.4,1200.749
2026-06-15,COINUSDT,False,7,0,7,0,0,0,1200.749
2026-06-16,COINUSDT,False,11,1,5,-3.84,0.64,-4.49,1196.261
2026-06-17,COINUSDT,True,0,0,0,0.0,0.0,0.0,1196.261
2026-06-18,COINUSDT,False,11,1,6,20.34,0.69,19.64,1215.9058
2026-06-22,COINUSDT,False,12,1,8,0.57,0.94,-0.37,1215.5345
2026-06-23,COINUSDT,False,6,1,4,9.52,0.53,8.98,1224.5186
2026-06-24,COINUSDT,False,11,1,5,15.04,0.75,14.28,1238.8015
2026-06-25,COINUSDT,False,9,1,7,-0.2,0.56,-0.75,1238.048
2026-06-26,COINUSDT,False,8,0,8,0,0,0,1238.048
2026-06-29,COINUSDT,False,7,1,3,21.05,0.56,20.49,1258.5376
2026-06-30,COINUSDT,False,0,0,0,0,0,0,1258.5376
