session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-02-02,09:45,TSLAUSDT,SHORT,422.67,424.2153,419.5793,2324.8573,1000.0,1015.6051,17.0,1.3949,15.6051,2.0,win,422.67,423.37,0.009318,ob_prox
2026-02-04,09:45,TSLAUSDT,SHORT,418.07,424.7461,404.7177,540.5892,1015.6051,1032.546,17.2653,0.3244,16.9409,2.0,win,418.07,423.91,0.008249,ob_prox
2026-02-05,12:15,TSLAUSDT,LONG,398.5,395.733,404.034,1264.0012,1032.546,1023.011,-8.7766,0.7584,-9.535,-1.0,loss,396.53,398.5,0.024584,ob_prox
2026-02-06,10:15,TSLAUSDT,LONG,409.19,404.8716,417.8268,823.9548,1023.011,1026.5841,4.0675,0.4944,3.5731,0.4678,session_close,405.69,409.19,0.020088,ob_prox
2026-02-09,10:00,TSLAUSDT,LONG,414.03,408.9419,424.2061,710.0567,1026.5841,1031.9891,5.831,0.426,5.405,0.6682,session_close,409.77,414.03,0.008408,ob_prox
2026-02-12,12:45,TSLAUSDT,SHORT,417.5,421.1522,410.1956,1002.7594,1031.9891,1032.204,0.8166,0.6017,0.2149,0.0931,session_close,417.5,420.15,0.012115,ob_prox
2026-02-17,11:00,TSLAUSDT,LONG,405.57,400.3901,415.9298,686.9532,1032.204,1040.8028,9.011,0.4122,8.5988,1.027,session_close,401.2,405.57,0.013021,ob_prox
2026-02-18,10:00,TSLAUSDT,LONG,412.45,410.5495,416.2511,1919.9198,1040.8028,1057.3444,17.6936,1.152,16.5416,2.0,win,411.33,412.45,0.010018,ob_prox
2026-02-19,10:30,TSLAUSDT,LONG,410.74,408.1965,415.827,1451.3474,1057.3444,1060.4311,3.9575,0.8708,3.0867,0.4403,session_close,408.96,410.74,0.00827,ob_prox
2026-02-24,10:15,TSLAUSDT,LONG,403.38,400.5873,408.9654,1301.9517,1060.4311,1077.6772,18.0273,0.7812,17.2461,2.0,win,401.25,403.38,0.021129,ob_prox
2026-03-05,09:45,TSLAUSDT,LONG,402.73,400.1047,407.9806,1405.2207,1077.6772,1095.1546,18.3205,0.8431,17.4774,2.0,win,400.75,402.73,0.009711,ob_prox
2026-03-09,11:45,TSLAUSDT,LONG,388.41,386.6656,391.8987,2072.7662,1095.1546,1112.5285,18.6176,1.2437,17.3739,2.0,win,387.28,388.41,0.009773,ob_prox
2026-03-10,14:00,TSLAUSDT,SHORT,401.73,404.0193,397.1515,1659.4718,1112.5285,1121.3228,9.79,0.9957,8.7943,1.0353,session_close,401.73,403.41,0.012489,ob_prox
2026-03-12,10:15,TSLAUSDT,SHORT,400.05,403.1692,393.8115,1222.4032,1121.3228,1135.3786,14.7892,0.7334,14.0558,1.5517,session_close,400.05,402.53,0.018821,ob_prox
2026-03-13,10:00,TSLAUSDT,SHORT,397.81,400.781,391.868,1292.2033,1135.3786,1153.9047,19.3014,0.7753,18.5261,2.0,win,397.81,400.15,0.008844,ob_prox
2026-03-25,11:45,TSLAUSDT,SHORT,389.35,393.2614,381.5273,976.3416,1153.9047,1161.7445,8.4256,0.5858,7.8398,0.859,session_close,389.35,392.66,0.013317,ob_prox
2026-03-30,15:00,TSLAUSDT,SHORT,355.72,357.1512,352.8577,2454.4175,1161.7445,1164.6187,4.3469,1.4727,2.8742,0.4402,session_close,355.72,356.57,0.012784,ob_prox
2026-04-01,14:15,TSLAUSDT,SHORT,381.17,382.8332,377.8436,2268.6678,1164.6187,1162.3052,-0.9523,1.3612,-2.3135,-0.0962,session_close,381.17,382.22,0.010222,ob_prox
2026-04-06,10:30,TSLAUSDT,SHORT,357.8,360.2617,352.8766,1435.9763,1162.3052,1181.2028,19.7592,0.8616,18.8976,2.0,win,357.8,359.69,0.011499,ob_prox
2026-04-09,11:30,TSLAUSDT,LONG,343.71,339.3414,352.4473,789.933,1181.2028,1185.1185,4.3897,0.474,3.9157,0.4372,session_close,340.0,343.71,0.00853,ob_prox
