session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-02-02,09:45,TSLAUSDT,SHORT,422.67,424.2153,419.5793,32.548,14.0,14.2185,0.238,0.0195,0.2185,2.0,win,422.67,423.37,0.009318,ob_prox
2026-02-04,09:45,TSLAUSDT,SHORT,418.07,424.7461,404.7177,7.452,14.0,14.2335,0.238,0.0045,0.2335,2.0,win,418.07,423.91,0.008249,ob_prox
2026-02-05,12:15,TSLAUSDT,LONG,398.5,395.733,404.034,17.1382,14.0,13.8707,-0.119,0.0103,-0.1293,-1.0,loss,396.53,398.5,0.024584,ob_prox
2026-02-06,10:15,TSLAUSDT,LONG,409.19,404.8716,417.8268,11.2759,14.0,14.0489,0.0557,0.0068,0.0489,0.4678,session_close,405.69,409.19,0.020088,ob_prox
2026-02-09,10:00,TSLAUSDT,LONG,414.03,408.9419,424.2061,9.6834,14.0,14.0737,0.0795,0.0058,0.0737,0.6682,session_close,409.77,414.03,0.008408,ob_prox
2026-02-12,12:45,TSLAUSDT,SHORT,417.5,421.1522,410.1956,13.6035,14.0,14.0029,0.0111,0.0082,0.0029,0.0931,session_close,417.5,420.15,0.012115,ob_prox
2026-02-17,11:00,TSLAUSDT,LONG,405.57,400.3901,415.9298,9.3173,14.0,14.1166,0.1222,0.0056,0.1166,1.027,session_close,401.2,405.57,0.013021,ob_prox
2026-02-18,10:00,TSLAUSDT,LONG,412.45,410.5495,416.2511,25.8251,14.0,14.2225,0.238,0.0155,0.2225,2.0,win,411.33,412.45,0.010018,ob_prox
2026-02-19,10:30,TSLAUSDT,LONG,410.74,408.1965,415.827,19.2169,14.0,14.0409,0.0524,0.0115,0.0409,0.4403,session_close,408.96,410.74,0.00827,ob_prox
2026-02-24,10:15,TSLAUSDT,LONG,403.38,400.5873,408.9654,17.1886,14.0,14.2277,0.238,0.0103,0.2277,2.0,win,401.25,403.38,0.021129,ob_prox
2026-03-05,09:45,TSLAUSDT,LONG,402.73,400.1047,407.9806,18.2551,14.0,14.227,0.238,0.011,0.227,2.0,win,400.75,402.73,0.009711,ob_prox
2026-03-09,11:45,TSLAUSDT,LONG,388.41,386.6656,391.8987,26.4974,14.0,14.2221,0.238,0.0159,0.2221,2.0,win,387.28,388.41,0.009773,ob_prox
2026-03-10,14:00,TSLAUSDT,SHORT,401.73,404.0193,397.1515,20.8827,14.0,14.1107,0.1232,0.0125,0.1107,1.0353,session_close,401.73,403.41,0.012489,ob_prox
2026-03-12,10:15,TSLAUSDT,SHORT,400.05,403.1692,393.8115,15.262,14.0,14.1754,0.1846,0.0092,0.1754,1.5517,session_close,400.05,402.53,0.018821,ob_prox
2026-03-13,10:00,TSLAUSDT,SHORT,397.81,400.781,391.868,15.9338,14.0,14.2284,0.238,0.0096,0.2284,2.0,win,397.81,400.15,0.008844,ob_prox
2026-03-25,11:45,TSLAUSDT,SHORT,389.35,393.2614,381.5273,11.8457,14.0,14.0951,0.1022,0.0071,0.0951,0.859,session_close,389.35,392.66,0.013317,ob_prox
2026-03-30,15:00,TSLAUSDT,SHORT,355.72,357.1512,352.8577,29.5778,14.0,14.0347,0.0524,0.0177,0.0347,0.4402,session_close,355.72,356.57,0.012784,ob_prox
2026-04-01,14:15,TSLAUSDT,SHORT,381.17,382.8332,377.8436,27.2719,14.0,13.9722,-0.0114,0.0164,-0.0278,-0.0962,session_close,381.17,382.22,0.010222,ob_prox
2026-04-06,10:30,TSLAUSDT,SHORT,357.8,360.2617,352.8766,17.2964,14.0,14.2276,0.238,0.0104,0.2276,2.0,win,357.8,359.69,0.011499,ob_prox
2026-04-09,11:30,TSLAUSDT,LONG,343.71,339.3414,352.4473,9.3625,14.0,14.0464,0.052,0.0056,0.0464,0.4372,session_close,340.0,343.71,0.00853,ob_prox
2026-04-13,09:45,TSLAUSDT,LONG,350.56,348.0225,355.635,16.4401,14.0,14.0801,0.09,0.0099,0.0801,0.7567,session_close,348.62,350.56,0.018997,ob_prox
2026-04-14,11:15,TSLAUSDT,LONG,363.46,360.4614,369.4573,14.4238,14.0,14.0254,0.0341,0.0087,0.0254,0.2868,session_close,361.07,363.46,0.009315,ob_prox
2026-04-15,12:45,TSLAUSDT,SHORT,390.81,395.2577,381.9146,10.4563,14.0,13.9565,-0.0372,0.0063,-0.0435,-0.3125,session_close,390.81,394.58,0.012101,ob_prox
2026-04-20,10:00,TSLAUSDT,SHORT,393.9,397.888,385.924,11.7539,14.0,14.0272,0.0343,0.0071,0.0272,0.2884,session_close,393.9,397.22,0.014077,ob_prox
2026-04-22,10:00,TSLAUSDT,LONG,389.63,386.9037,395.0827,17.0066,14.0,13.8977,-0.0921,0.0102,-0.1023,-0.7739,session_close,387.62,389.63,0.010039,ob_prox
2026-05-01,10:15,TSLAUSDT,LONG,387.5,379.874,402.752,6.0467,14.0,14.0555,0.0591,0.0036,0.0555,0.497,session_close,380.53,387.5,0.011639,ob_prox
2026-05-05,10:45,TSLAUSDT,SHORT,394.59,402.7968,378.1765,5.7217,14.0,14.0675,0.0709,0.0034,0.0675,0.5959,session_close,394.59,402.2,0.021382,ob_prox
2026-05-06,10:15,TSLAUSDT,LONG,392.27,388.0645,400.6809,11.0999,14.0,14.2313,0.238,0.0067,0.2313,2.0,win,388.68,392.27,0.010654,ob_prox
2026-05-07,11:00,TSLAUSDT,SHORT,411.09,416.222,400.826,9.5323,14.0,13.9732,-0.0211,0.0057,-0.0268,-0.1773,session_close,411.09,415.58,0.00858,ob_prox
2026-05-13,11:00,TSLAUSDT,LONG,448.25,443.9464,456.8571,12.3948,14.0,13.8736,-0.119,0.0074,-0.1264,-1.0,loss,444.7,448.25,0.033134,ob_prox
2026-05-15,15:00,TSLAUSDT,SHORT,425.25,427.7345,420.2809,20.3679,14.0,14.1186,0.1308,0.0122,0.1186,1.0988,session_close,425.25,426.96,0.009447,ob_prox
2026-05-18,10:15,TSLAUSDT,SHORT,413.28,418.7986,402.2428,8.9117,14.0,14.0534,0.0587,0.0053,0.0534,0.4929,session_close,413.28,418.1,0.013103,ob_prox
2026-05-20,11:15,TSLAUSDT,LONG,412.42,408.7994,419.6612,13.5552,14.0,14.1556,0.1637,0.0081,0.1556,1.3755,session_close,409.52,412.42,0.01021,ob_prox
2026-05-22,10:30,TSLAUSDT,LONG,427.16,420.8969,439.6863,8.1161,14.0,13.9738,-0.0213,0.0049,-0.0262,-0.1788,session_close,421.62,427.16,0.011993,ob_prox
2026-05-28,10:00,TSLAUSDT,LONG,441.01,435.8123,451.4054,10.0968,14.0,14.028,0.0341,0.0061,0.028,0.2867,session_close,436.48,441.01,0.008727,ob_prox
2026-06-04,10:45,TSLAUSDT,SHORT,420.04,425.8505,408.4189,8.6024,14.0,14.0198,0.025,0.0052,0.0198,0.21,session_close,420.04,425.19,0.0111,ob_prox
2026-06-05,11:30,TSLAUSDT,SHORT,401.95,404.1115,397.6271,22.1295,14.0,14.2247,0.238,0.0133,0.2247,2.0,win,401.95,403.37,0.01359,ob_prox
